Item, Price per serving , Current Price on Food Card ,Cal,Fat,Sat Fat,Cholesterol,Sodium,Carbs,Fiber,Sugar,Protein,WIC
Food Tiger,,,,,,,,,,,,
Fried Chicken,$0.75 ,,294,14.9 g,4 g,96 mg,311 mg,10.2 g,0.3 g,0g,28.1g,
Salmon (fresh),$2.19 ,,233,14 g,2.8 g,71 mg,69 mg,0 g,0 g,missing value,25 g,
Mac & Cheese,$0.21 ,,260,1.5 g,0.5 g,< 5 mg,570 mg,50 g,2 g,8 g,9 g,
Banana            WIC,$0.28 ,,105,0.4 g,0.1 g,0 mg,1 mg,27 g,3.1 g,14.4 g,1.3 g,
Tomato,$0.99 ,,27,0.3 g,< 0.1 g,0 mg,7 mg,5.8 g,1.8 g,3.9 g,1.3 g,
Bologna,$0.13 ,,80,7 g,2.5 g,20 mg,250 mg,1 g,0 g,0g,3 g,
Apple                 WIC,$0.28 ,,93,0.3 g,< 0.1 g,0 mg,2 mg,24.7 g,4.3 g,18.6 g,0.5 g,
Candy Bar,$0.61 ,,250,12 g,4.5 g,5 mg,120 mg,33 g,1 g,27 g,4 g,
Ground Beef,$0.84 ,,307,19.6 g,7.5 g,101 mg,103 mg,0 g,0 g,0 g,30.5 g,
Cookies,$0.15 ,,160,7 g,2 g,0 mg,135 mg,25 g,1 g,14 g,1 g,
Soda,$0.39 ,,140,0 g,0 g,0 mg,45 mg,39 g,0g,39 g,0 g,
Jelly,$0.04 ,,50,0 g,0 g,0 mg,0 mg,13 g,0 g,12 g,0 g,
Peanut Butter   WIC,$0.05 ,,188,16.1 g,3.3 g,0 mg,147 mg,6.3 g,1.9 g,3 g,8 g,
Cereal,$0.19 ,,143,0.8 g,< 0.1 g,0 mg,180 mg,35.4 g,0.7 g,15.1 g,1.7 g,
Sausage,$0.66 ,,170,13 g,4.5 g,40 mg,490 mg,2 g,0 g,1 g,10 g,
Egg                     WIC,$0.16 ,,78,5.3 g ,1.6 g,212 mg,62 mg,0.6 g,0 g,0.6 g,6.3 g,
Potato Chips,$0.14 ,,160,10 g,1.5 g,0 mg,135 mg,15 g,1 g,1 g,1 g,
Broccoli              WIC,$0.28 ,,30,0.3 g,< 0.1 g,0 mg,29 mg,5.8 g,2.3 g,1.5 g,2.5 g,
Wheat Bread    WIC,$0.05 ,,60,0.5 g,0 g,0 mg,110 mg,11 g,2 g,< 1 g,4 g,
1 % Milk                 WIC,$0.18 ,,110,2.5 g,1.5 g,10 mg,130 mg,13 g,0 g,12 g,8 g,
Iceberg Lettuce,$0.20 ,,8,< 0.1 g,< 0.1 g,0 mg,6 mg,1.6 g,0.7 g,1 g,0.5 g,
Green Beans (fresh)       WIC,$0.54 ,,44,0.4 g,< 0.1 g,0 mg,1 mg,9.9 g,4 g,1.9 g,2.4 g,
Green Beans (canned)  WIC,$0.16 ,,32,0.6 g,0.1 g,0 mg,3 mg,6.5 g,3.8 g,2 g,1.9 g,
Carrots (fresh)    WIC,$0.25 ,,52,0.3 g,< 0.1 g,0 mg,88 mg,12.3 g,3.6 g,5.8 g,1.2 g,
Pasta,$0.10 ,,200,1 g,0 g,0 mg,0 mg,41 g,2 g,2 g,7 g,
Tomato Sauce,$0.51 ,,80,0 g,0 g,0 mg,1640 mg,16 g,4 g,8 g,2 g,
Marinara Sauce,$0.41 ,,120,3 g,0 g,0 mg,940 mg,22 g,4 g,7 g,2 g,
